"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Group"
"Cell Cycle R-HSA-1640170","40/654",7.87037060703275e-14,3.21504639297288e-11,0,0,4.67292008522936,140.996420301291,"TOP2A;H2AX;CDCA5;PRIM1;CDCA8;MCM10;HMMR;TYMS;SYNE2;AURKB;PHF8;PSMC3IP;CCNB2;CCNB1;CHEK1;AKT1;TK1;POLE;LYN;GINS1;RRM2;FBXW11;UBE2C;NCAPH2;PLK1;CSNK1E;MLH1;NDC80;HAUS1;DHFR;MZT2B;CCNA2;POLA1;POLA2;INCENP;CDK2;CDK1;KIF2C;KIF20A;SPC24","Reactome_2022","Downregulated"
"Complex I Biogenesis R-HSA-6799198","13/51",5.52122226006928e-13,1.50361286215887e-10,0,0,22.9502425004491,647.770754061429,"NDUFA8;NDUFA7;NDUFB7;TIMMDC1;NDUFA5;NDUFA12;NDUFA3;NDUFB3;NDUFS7;NDUFAF4;NDUFS4;NDUFS3;NDUFS2","Reactome_2022","Downregulated"
"Mitotic G1 Phase And G1/S Transition R-HSA-453279","16/147",9.79287603199559e-10,1.82594609863477e-07,0,0,8.23922084759147,170.916010041474,"LYN;TOP2A;RRM2;PRIM1;MCM10;TYMS;DHFR;CCNA2;POLA1;CCNB1;POLA2;CDK2;CDK1;AKT1;TK1;POLE","Reactome_2022","Downregulated"
"Respiratory Electron Transport R-HSA-611105","13/90",1.1174700726039e-09,1.82594609863477e-07,0,0,11.3036212933824,232.992486664558,"NDUFA8;NDUFA7;NDUFB7;TIMMDC1;NDUFA5;NDUFA12;NDUFA3;NDUFB3;NDUFS7;NDUFAF4;NDUFS4;NDUFS3;NDUFS2","Reactome_2022","Downregulated"
"G1/S Transition R-HSA-69206","14/129",1.1526834308651e-08,1.36485403198629e-06,0,0,8.16277546158428,149.20401042836,"RRM2;PRIM1;MCM10;TYMS;DHFR;CCNA2;POLA1;CCNB1;POLA2;CDK2;CDK1;AKT1;TK1;POLE","Reactome_2022","Downregulated"
"Kinesins R-HSA-983189","9/42",1.16939757942522e-08,1.36485403198629e-06,0,0,18.0541781450872,329.744976353235,"RACGAP1;KIFC1;KIF4A;KIF13B;KIF1C;KIF2C;KIF11;KIF22;KIF20A","Reactome_2022","Downregulated"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200","13/112",1.71035466589482e-08,1.74669970254509e-06,0,0,8.78184576136795,157.054353853898,"NDUFA8;NDUFA7;NDUFB7;TIMMDC1;NDUFA5;NDUFA12;NDUFA3;NDUFB3;NDUFS7;NDUFAF4;NDUFS4;NDUFS3;NDUFS2","Reactome_2022","Downregulated"
"COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434","10/78",3.04681709731866e-07,2.76583285389927e-05,0,0,9.75059618441971,146.297927403893,"RACGAP1;KIFC1;KIF4A;KIF13B;KIF1C;KIF2C;KIF11;KIF22;KIF20A;ARF5","Reactome_2022","Downregulated"
"Resolution Of Sister Chromatid Cohesion R-HSA-2500257","11/106",6.87630740540863e-07,5.61794315021885e-05,0,0,7.69273862622658,109.160067707711,"CCNB2;CCNB1;INCENP;CDCA5;PLK1;CDK1;CDCA8;KIF2C;NDC80;AURKB;SPC24","Reactome_2022","Downregulated"
"Mitotic Prometaphase R-HSA-68877","14/186",1.11623262779798e-06,8.14811985750077e-05,0,0,5.44178082191781,74.5826060433593,"CDCA5;PLK1;CDCA8;CSNK1E;NDC80;AURKB;HAUS1;MZT2B;CCNB2;CCNB1;INCENP;CDK1;KIF2C;SPC24","Reactome_2022","Downregulated"
"Golgi-to-ER Retrograde Transport R-HSA-8856688","11/112",1.19678627037955e-06,8.14811985750077e-05,0,0,7.23352911562343,98.635467737871,"RACGAP1;KIFC1;KIF4A;GALNT1;KIF13B;KIF1C;KIF2C;KIF20A;KIF11;KIF22;ARF5","Reactome_2022","Downregulated"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517","13/163",1.4139155094593e-06,8.88591516329423e-05,0,0,5.78093287827076,77.8642390421247,"NDUFA8;NDUFA7;NDUFB7;TIMMDC1;NDUFA5;NDUFA12;NDUFA3;NDUFB3;NDUFS7;NDUFAF4;NDUFS4;NDUFS3;NDUFS2","Reactome_2022","Downregulated"
"Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273","6/25",1.6929721280139e-06,9.87824337159444e-05,0,0,20.7105263157895,275.222700275915,"CCNA2;CCNB2;CCNB1;PLK1;CDK2;CDK1","Reactome_2022","Downregulated"
"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767","4/7",1.81363097397695e-06,9.87824337159444e-05,0,0,86.9359823399559,1149.30930538093,"CCNB2;CCNB1;PLK1;CDK1","Reactome_2022","Downregulated"
"Signaling By Rho GTPases R-HSA-194315","27/644",2.39918668504738e-06,0.000122508470105232,0,0,2.99215768285669,38.7196597079522,"H2AX;GRB7;ABCD3;CDCA8;AURKB;RACGAP1;FLOT1;ABL2;PLXNA1;FLOT2;ECT2;JAG1;ARHGEF12;NDUFA5;NCOA3;PLK1;CYBA;NDC80;ANLN;CCDC88A;INCENP;PRC1;CDC42EP4;RAPGEF1;NDUFS3;KIF2C;SPC24","Reactome_2022","Downregulated"
"DNA Replication Initiation R-HSA-68952","4/8",3.58352701397754e-06,0.000171810021202327,0,0,65.1986754966887,817.536822247608,"POLA1;POLA2;PRIM1;POLE","Reactome_2022","Downregulated"
